Type,Suburb / Postcode,Area Room Name
Suburb,Aarons Pass,Hunter Valley Exc Newcastle
Suburb,Abba River,Bunbury
Suburb,Abbey,Bunbury
Suburb,Abbeyard,Hume
Suburb,Abbeywood,Wide Bay
Suburb,Abbotsbury,Sydney - South West
Suburb,Abbotsford,Inner West Sydney
Suburb,Abbotsham,North West Tasmania
Suburb,Abeckett Street,Regional VIC
Suburb,Abels Bay,South East
Suburb,Abercorn,Wide Bay
Suburb,Abercrombie,Central West
Suburb,Abercrombie River,Central West
Suburb,Aberdare,Hunter Valley Exc Newcastle
Suburb,Aberdeen,Hunter Valley Exc Newcastle
Suburb,Aberfeldie,Melbourne - North West
Suburb,Aberfeldy,Latrobe - Gippsland
Suburb,Aberfoyle,New England and North West
Suburb,Aberfoyle Park,Adelaide - South
Suburb,Aberglasslyn,Newcastle & Hunter
Suburb,Abergowrie,Townsville
Suburb,Abermain,Hunter Valley Exc Newcastle
Suburb,Abernethy,Hunter Valley Exc Newcastle
Suburb,Abingdon Downs,Cairns
Suburb,Abington,New England and North West
Suburb,Abminga Station,South Australia - South East
Suburb,Acacia Creek,Richmond - Tweed
Suburb,Acacia Gardens,Penrith & Blue Mountains
Suburb,Acacia Hills,Northern Territory - Outback
Suburb,Acacia Park,New England and North West
Suburb,Acacia Plateau,Richmond - Tweed
Suburb,Acacia Ridge,South Brisbane
Suburb,Acacia Ridge Bc,South Brisbane
Suburb,Acacia Ridge Dc,South Brisbane
Suburb,Acheron,Hume
Suburb,Acland,Darling Downs - Maranoa
Suburb,Acton,Inner Canberra
Suburb,Acton Park,Bunbury
Suburb,Ada,Melbourne - Outer East
Suburb,Adaminaby,Riverina
Suburb,Adams Estate,Melbourne - South East
Suburb,Adamstown,Newcastle & Hunter
Suburb,Adamstown Heights,Newcastle & Hunter
Suburb,Adamsvale,Western Australia - Wheat Belt
Suburb,Adare,Toowoomba
Suburb,Adavale,Queensland - Outback
Suburb,Addington,Ballarat
Suburb,Adelaide,Adelaide - Central and Hills
Suburb,Adelaide Airport,Adelaide - West
Suburb,Adelaide Bc,Inner Adelaide
Suburb,Adelaide Lead,North West
Suburb,Adelaide Park,Fitzroy
Suburb,Adelaide River,Northern Territory - Outback
Suburb,Adelaide University,Adelaide - Central and Hills
Suburb,Adelong,Riverina
Suburb,Adjungbilly,Riverina
Suburb,Advancetown,Gold Coast North
Suburb,Adventure Bay,South East
Suburb,Aeroglen,Cairns
Suburb,Afterlee,Richmond - Tweed
Suburb,Agery,Barossa - Yorke - Mid North
Suburb,Agnes,Latrobe - Gippsland
Suburb,Agnes Banks,Penrith & Blue Mountains
Suburb,Agnes Water,Fitzroy
Suburb,Agnew,Regional WA
Suburb,Aherrenge,Alice Springs
Suburb,Ailsa,North West
Suburb,Ainslie,Inner Canberra
Suburb,Aintree,Regional VIC
Suburb,Airdmillan,Townsville
Suburb,Airds,South West Sydney
Suburb,Aire Valley,Warrnambool and South West
Suburb,Aireys Inlet,Geelong & Surf Coast
Suburb,Airlie Beach,Mackay
Suburb,Airly,Central West
Suburb,Airport West,Melbourne - North West
Suburb,Airville,Townsville
Suburb,Aitkenvale,Townsville
Suburb,Aitkenvale Bc,Townsville
Suburb,Ajana,Western Australia - Outback
Suburb,Akaroa,Launceston and North East
Suburb,Akolele,Capital Region
Suburb,Akuna Bay,Northern Beaches
Suburb,Alabama Hill,Townsville
Suburb,Alanvale,Launceston
Suburb,Alawa,Darwin
Suburb,Alawoona,South Australia - South East
Suburb,Albacutya,North West
Suburb,Albanvale,Western Melbourne
Suburb,Albany,Western Australia - Wheat Belt
Suburb,Albany Creek,North Brisbane
Suburb,Albany Dc,Regional WA
Suburb,Albany Po,Western Australia - Wheat Belt
Suburb,Albert,Central West
Suburb,Albert Park,Melbourne - Inner
Suburb,Alberta,Fitzroy
Suburb,Alberton,Latrobe - Gippsland
Suburb,Alberton West,Latrobe - Gippsland
Suburb,Albinia,Fitzroy
Suburb,Albion,Western Melbourne
Suburb,Albion Bc,Brisbane Inner City
Suburb,Albion Dc,Brisbane Inner City
Suburb,Albion Heights,Hobart
Suburb,Albion Park,Wollongong & Illawarra
Suburb,Albion Park Rail,Wollongong & Illawarra
Suburb,Albury,Hume
Suburb,Albury Msc,Regional NSW
Suburb,Alcomie,West and North West
Suburb,Aldavilla,New England and North West
Suburb,Alderley,Brisbane Inner City
Suburb,Aldershot,Wide Bay
Suburb,Aldersyde,Western Australia - Wheat Belt
Suburb,Aldgate,Adelaide Hills
Suburb,Aldinga,Adelaide - South
Suburb,Aldinga Beach,Adelaide - South
Suburb,Aldoga,Fitzroy
Suburb,Alectown,Central West
Suburb,Alexander Heights,Eastern Perth
Suburb,Alexandra,Hume
Suburb,Alexandra Bridge,Bunbury
Suburb,Alexandra Headland,Sunshine Coast
Suburb,Alexandra Hills,East Brisbane & Bayside
Suburb,Alexandria,Sydney - City and Inner South
Suburb,Alexandria Mc,Regional NSW
Suburb,Alford,Barossa - Yorke - Mid North
Suburb,Alfords Point,Sydney - Sutherland
Suburb,Alfred Cove,South Perth & Fremantle
Suburb,Alfredton,Ballarat
Suburb,Alfredtown,Riverina
Suburb,Algester,South Brisbane
Suburb,Ali Curung,Alice Springs
Suburb,Alice,Richmond - Tweed
Suburb,Alice Creek,Wide Bay
Suburb,Alice River,Townsville
Suburb,Alice Springs,Alice Springs
Suburb,Alison,Central Coast
Suburb,Alkimos,Perth - North West
Suburb,Allambee,Latrobe - Gippsland
Suburb,Allambee Reserve,Latrobe - Gippsland
Suburb,Allambee South,Latrobe - Gippsland
Suburb,Allambie,Northern Beaches
Suburb,Allambie Heights,Northern Beaches
Suburb,Allan,Darling Downs - Maranoa
Suburb,Allandale,Newcastle & Hunter
Suburb,Allandale Station,South Australia - Outback
Suburb,Allanooka,Western Australia - Outback
Suburb,Allans Flat,Hume
Suburb,Allansford,Warrnambool and South West
Suburb,Allanson,Western Australia - Wheat Belt
Suburb,Allawah,Sutherland Shire
Suburb,Alleena,Central West
Suburb,Allenby Gardens,Adelaide - West
Suburb,Allendale,Bendigo
Suburb,Allendale East,South Australia - South East
Suburb,Allendale North,Barossa - Yorke - Mid North
Suburb,Allens Rivulet,South East
Suburb,Allenstown,Fitzroy
